month,current_marginal_pd,current_cumulative_pd,current_survival,origination_marginal_pd,origination_cumulative_pd,origination_survival
53,0.000485722622,0.078214177696,0.921785822304,0.000009934909,0.000536957609,0.999463042391
54,0.000472073469,0.078686251165,0.921313748835,0.000009944085,0.000546901694,0.999453098306
55,0.000459051708,0.079145302873,0.920854697127,0.000009954419,0.000556856114,0.999443143886
56,0.000446448504,0.079591751378,0.920408248622,0.000009965460,0.000566821574,0.999433178426
57,0.000434248561,0.080025999939,0.919974000061,0.000009973876,0.000576795450,0.999423204550
58,0.000422438743,0.080448438681,0.919551561319,0.000009985496,0.000586780946,0.999413219054
59,0.000411005322,0.080859444003,0.919140555997,0.000009997494,0.000596778440,0.999403221560
60,0.000399839312,0.081259283316,0.918740716684,0.000010008432,0.000606786872,0.999393213128
61,0.000389123684,0.081648407000,0.918351593000,0.000010020775,0.000616807646,0.999383192354
62,0.000378745841,0.082027152841,0.917972847159,0.000010032348,0.000626839994,0.999373160006
63,0.000368696597,0.082395849438,0.917604150562,0.000010045496,0.000636885491,0.999363114509
64,0.000358963720,0.082754813158,0.917245186842,0.000010059091,0.000646944581,0.999353055419
65,0.000349536208,0.083104349366,0.916895650634,0.000010072827,0.000657017409,0.999342982591
66,0.000340403750,0.083444753116,0.916555246884,0.000010086702,0.000667104110,0.999332895890
67,0.000331556129,0.083776309246,0.916223690754,0.000010100429,0.000677204540,0.999322795460
68,0.000322983771,0.084099293017,0.915900706983,0.000010114005,0.000687318545,0.999312681455
69,0.000314678112,0.084413971129,0.915586028871,0.000010127997,0.000697446542,0.999302553458
70,0.000306628851,0.084720599980,0.915279400020,0.000010141181,0.000707587723,0.999292412277
71,0.000298829446,0.085019429426,0.914980570574,0.000010155491,0.000717743214,0.999282256786
72,0.000291270192,0.085310699618,0.914689300382,0.000010169488,0.000727912702,0.999272087298
73,0.000283944191,0.085594643809,0.914405356191,0.000010184239,0.000738096940,0.999261903060
74,0.000276842449,0.085871486257,0.914128513743,0.000010198435,0.000748295375,0.999251704625
75,0.000269958891,0.086141445148,0.913858554852,0.000010213411,0.000758508786,0.999241491214
76,0.000263285700,0.086404730849,0.913595269151,0.000010228496,0.000768737282,0.999231262718
77,0.000256815749,0.086661546598,0.913338453402,0.000010243457,0.000778980739,0.999221019261
78,0.000250542845,0.086912089442,0.913087910558,0.000010258753,0.000789239493,0.999210760507
79,0.000244460338,0.087156549781,0.912843450219,0.000010274152,0.000799513645,0.999200486355
80,0.000238561691,0.087395111472,0.912604888528,0.000010289306,0.000809802951,0.999190197049
81,0.000232841614,0.087627953086,0.912372046914,0.000010304902,0.000820107853,0.999179892147
82,0.000227293872,0.087855246958,0.912144753042,0.000010320447,0.000830428300,0.999169571700
83,0.000221913140,0.088077160097,0.911922839903,0.000010336232,0.000840764531,0.999159235469
84,0.000216693721,0.088293853818,0.911706146182,0.000010351908,0.000851116439,0.999148883561
85,0.000211630474,0.088505484292,0.911494515708,0.000010367522,0.000861483961,0.999138516039
86,0.000206713529,0.088712197820,0.911287802180,0.000010383082,0.000871867043,0.999128132957
87,0.000201599102,0.088913796922,0.911086203078,0.000010339086,0.000882206129,0.999117793871
88,0.000196372148,0.089110169071,0.910889830929,0.000010282301,0.000892488430,0.999107511570
89,0.000191563360,0.089301732430,0.910698267570,0.000010220675,0.000902709106,0.999097290894
90,0.000186788424,0.089488520854,0.910511479146,0.000010194906,0.000912904012,0.999087095988
91,0.000182218116,0.089670738970,0.910329261030,0.000010169185,0.000923073197,0.999076926803
92,0.000177835793,0.089848574763,0.910151425237,0.000010139498,0.000933212695,0.999066787305
93,0.000173636481,0.090022211244,0.909977788756,0.000010086186,0.000943298881,0.999056701119
94,0.000169473910,0.090191685154,0.909808314846,0.000010035671,0.000953334552,0.999046665448
95,0.000165515841,0.090357200995,0.909642799005,0.000010004012,0.000963338564,0.999036661436
96,0.000161525051,0.090518726046,0.909481273954,0.000009960977,0.000973299541,0.999026700459
97,0.000157939652,0.090676665698,0.909323334302,0.000009938867,0.000983238407,0.999016761593
98,0.000154260765,0.090830926463,0.909169073537,0.000009922640,0.000993161047,0.999006838953
99,0.000150786041,0.090981712504,0.909018287496,0.000009909548,0.001003070595,0.998996929405
100,0.000147352967,0.091129065472,0.908870934528,0.000009893538,0.001012964133,0.998987035867
101,0.000144012395,0.091273077867,0.908726922133,0.000009880520,0.001022844653,0.998977155347
102,0.000140910552,0.091413988418,0.908586011582,0.000009877182,0.001032721834,0.998967278166
103,0.000137853278,0.091551841696,0.908448158304,0.000009874510,0.001042596345,0.998957403655
104,0.000134892079,0.091686733775,0.908313266225,0.000009871093,0.001052467438,0.998947532562
105,0.000132012872,0.091818746646,0.908181253354,0.000009867122,0.001062334561,0.998937665439
106,0.000129220521,0.091947967167,0.908052032833,0.000009860848,0.001072195408,0.998927804592
107,0.000126592960,0.092074560127,0.907925439873,0.000009861144,0.001082056553,0.998917943447
108,0.000124086256,0.092198646383,0.907801353617,0.000009855129,0.001091911681,0.998908088319
109,0.000121560318,0.092320206701,0.907679793299,0.000009849165,0.001101760846,0.998898239154
110,0.000119159053,0.092439365754,0.907560634246,0.000009845690,0.001111606536,0.998888393464
111,0.000116761894,0.092556127647,0.907443872353,0.000009840150,0.001121446686,0.998878553314
112,0.000114471414,0.092670599061,0.907329400939,0.000009834599,0.001131281285,0.998868718715
