vintage,from_state,to_state,count,probability
2006Q2,30_DPD,CURRENT,5360,0.3176861071597914
2006Q2,30_DPD,60_DPD,3304,0.19582740635372214
2006Q2,60_DPD,90_PLUS,2129,0.3397701883179062
2006Q2,90_PLUS,90_PLUS,20934,0.9043936579254331
2006Q2,90_PLUS,DEFAULTED,729,0.03149436212036117
2006Q2,DEFAULTED,DEFAULTED,2953,0.9996614759647935
2006Q2,30_DPD,30_DPD,8048,0.4770033191085823
2006Q2,90_PLUS,60_DPD,354,0.015293558560504602
2006Q2,60_DPD,60_DPD,2542,0.4056814554739866
2006Q2,90_PLUS,30_DPD,132,0.005702682853069512
2006Q2,90_PLUS,CURRENT,909,0.039270747829092324
2006Q2,60_DPD,30_DPD,959,0.15304819661666136
2006Q2,60_DPD,CURRENT,597,0.0952760932014044
2006Q2,CURRENT,CENSORED_RPL,159,0.00028184043577140084
2006Q2,CURRENT,60_DPD,70,0.00012408069499369846
2006Q2,30_DPD,PAID_OFF,103,0.006104788999525841
2006Q2,CURRENT,90_PLUS,60,0.00010635488142317012
2006Q2,90_PLUS,PAID_OFF,66,0.002851341426534756
2006Q2,CURRENT,CENSORED_DEFECT,19,3.3679045784003874e-05
2006Q2,30_DPD,CENSORED_RPL,28,0.0016595542911332385
2006Q2,30_DPD,90_PLUS,25,0.0014817449027975343
2006Q2,90_PLUS,CENSORED_DEFECT,23,0.0009936492850045361
2006Q2,60_DPD,PAID_OFF,27,0.004308969039259496
2006Q2,60_DPD,CENSORED_RPL,8,0.0012767315671879987
2006Q2,30_DPD,DEFAULTED,3,0.00017780938833570413
2006Q2,CURRENT,DEFAULTED,5,8.862906785264177e-06
2006Q2,60_DPD,DEFAULTED,4,0.0006383657835939994
2006Q2,DEFAULTED,CENSORED_DEFECT,1,0.00033852403520649965
2006Q2,30_DPD,CENSORED_DEFECT,1,5.9269796111901376e-05
2006Q3,CURRENT,CURRENT,523363,0.969614498188097
2006Q3,CURRENT,PAID_OFF,8598,0.015929183865541235
2006Q3,CURRENT,30_DPD,7499,0.013893108840159773
2006Q3,30_DPD,30_DPD,7870,0.48166962482404063
2006Q3,30_DPD,60_DPD,3148,0.19266784992961625
2006Q3,60_DPD,90_PLUS,2094,0.3675618746708794
2006Q3,90_PLUS,90_PLUS,20844,0.9054341688023978
2006Q3,90_PLUS,60_DPD,315,0.013683158854958516
2006Q3,60_DPD,60_DPD,2170,0.38090222924346145
2006Q3,90_PLUS,30_DPD,152,0.006602667130011728
2006Q3,60_DPD,30_DPD,813,0.14270668773038442
2006Q3,60_DPD,CURRENT,583,0.10233456205020186
2006Q3,30_DPD,CURRENT,5150,0.3151967684680825
2006Q3,90_PLUS,CURRENT,874,0.03796533599756744
2006Q3,90_PLUS,DEFAULTED,749,0.03253551105512358
2006Q3,DEFAULTED,DEFAULTED,3111,0.9990366088631984
2006Q3,30_DPD,PAID_OFF,113,0.006915967929493849
2006Q3,CURRENT,90_PLUS,62,0.00011486501508066489
2006Q3,CURRENT,CENSORED_RPL,147,0.00027234124543318934
2006Q3,60_DPD,PAID_OFF,30,0.0052659294365455505
2006Q3,DEFAULTED,CENSORED_DEFECT,3,0.0009633911368015414
2006Q3,CURRENT,DEFAULTED,9,1.6673953802032e-05
2006Q3,CURRENT,60_DPD,70,0.00012968630734913776
2006Q3,90_PLUS,PAID_OFF,60,0.0026063159723730507
2006Q3,90_PLUS,CENSORED_DEFECT,23,0.0009990877894096694
2006Q3,30_DPD,CENSORED_RPL,33,0.002019707448436257
2006Q3,30_DPD,90_PLUS,22,0.0013464716322908379
2006Q3,60_DPD,DEFAULTED,5,0.000877654906090925
2006Q3,CURRENT,CENSORED_DEFECT,16,2.9642584536945775e-05
2006Q3,60_DPD,CENSORED_RPL,2,0.00035106196243637
2006Q3,30_DPD,CENSORED_DEFECT,2,0.0001224065120264398
2006Q3,30_DPD,DEFAULTED,1,6.12032560132199e-05
2006Q3,90_PLUS,CENSORED_RPL,4,0.00017375439815820338
2006Q4,CURRENT,CURRENT,561831,0.9707814030801343
2006Q4,CURRENT,PAID_OFF,8392,0.014500441475547785
2006Q4,CURRENT,30_DPD,8138,0.014061557760725436
2006Q4,30_DPD,30_DPD,9030,0.49474030243261014
2006Q4,30_DPD,CURRENT,5532,0.30309007232084156
2006Q4,30_DPD,60_DPD,3507,0.19214332675871137
2006Q4,60_DPD,30_DPD,911,0.14599358974358975
2006Q4,60_DPD,90_PLUS,2381,0.3815705128205128
2006Q4,90_PLUS,90_PLUS,23303,0.9040229662101874
2006Q4,90_PLUS,60_DPD,352,0.013655584435737285
2006Q4,60_DPD,60_DPD,2295,0.36778846153846156
2006Q4,90_PLUS,DEFAULTED,851,0.03301392714435349
2006Q4,DEFAULTED,DEFAULTED,3505,0.9994297120045623
2006Q4,90_PLUS,CURRENT,988,0.03832874267758079
2006Q4,90_PLUS,30_DPD,172,0.006672615122007992
2006Q4,60_DPD,CURRENT,613,0.09823717948717949
2006Q4,CURRENT,90_PLUS,67,0.0001157685389492018
2006Q4,60_DPD,PAID_OFF,26,0.004166666666666667
2006Q4,30_DPD,90_PLUS,28,0.0015340784571553803
2006Q4,30_DPD,PAID_OFF,122,0.0066841989918913
2006Q4,CURRENT,CENSORED_RPL,193,0.0003334825077193425
