segment_type,segment,from_state,to_state,sample_count,weighted_count,probability
Original LTV,60 or below,30_DPD,CURRENT,12037,408662.1353000000,0.3480214094
Original LTV,60 or below,30_DPD,DEFAULTED,3,96.5050000000,0.0000821848
Original LTV,60 or below,30_DPD,PAID_OFF,387,13140.9521000000,0.0111909871
Original LTV,60 or below,60_DPD,30_DPD,1735,57975.6231000000,0.1646697479
Original LTV,60 or below,60_DPD,60_DPD,4248,142367.6716000000,0.4043707913
Original LTV,60 or below,60_DPD,90_PLUS,3260,108697.4147000000,0.3087362397
Original LTV,60 or below,60_DPD,CENSORED_DEFECT,2,80.5169000000,0.0002286944
Original LTV,60 or below,60_DPD,CENSORED_RPL,12,391.4428000000,0.0011118257
Original LTV,60 or below,60_DPD,CURRENT,1157,38861.9370000000,0.1103806225
Original LTV,60 or below,60_DPD,DEFAULTED,3,91.3242000000,0.0002593906
Original LTV,60 or below,60_DPD,PAID_OFF,107,3606.1646000000,0.0102426879
Original LTV,60 or below,90_PLUS,30_DPD,277,9086.4994000000,0.0084884707
Original LTV,60 or below,90_PLUS,60_DPD,601,19773.3012000000,0.0184719198
Original LTV,60 or below,90_PLUS,90_PLUS,28962,958366.8470000001,0.8952918587
Original LTV,60 or below,90_PLUS,CENSORED_DEFECT,24,775.0575000000,0.0007240470
Original LTV,60 or below,90_PLUS,CENSORED_RPL,1,30.2787000000,0.0000282859
Original LTV,60 or below,90_PLUS,CURRENT,1549,52084.9490000000,0.0486569740
Original LTV,60 or below,90_PLUS,DEFAULTED,634,20890.9325000000,0.0195159942
Original LTV,60 or below,90_PLUS,PAID_OFF,278,9444.0077000000,0.0088224496
Original LTV,60 or below,CURRENT,30_DPD,16069,544000.8151000000,0.0085355040
Original LTV,60 or below,CURRENT,60_DPD,97,3278.6943000000,0.0000514435
Original LTV,60 or below,CURRENT,90_PLUS,74,2502.7212000000,0.0000392683
Original LTV,60 or below,CURRENT,CENSORED_DEFECT,42,1372.6160000000,0.0000215367
Original LTV,60 or below,CURRENT,CENSORED_RPL,234,7992.2025000000,0.0001253996
Original LTV,60 or below,CURRENT,CURRENT,1794414,62227019.2201000005,0.9763569353
Original LTV,60 or below,CURRENT,DEFAULTED,8,249.6018000000,0.0000039163
Original LTV,60 or below,CURRENT,PAID_OFF,27895,947467.6835000000,0.0148659964
Original LTV,60 or below,DEFAULTED,CENSORED_DEFECT,2,59.5400000000,0.0006973143
Original LTV,60 or below,DEFAULTED,DEFAULTED,2596,85325.2020000000,0.9993026857
Original LTV,61 to 80,30_DPD,30_DPD,58822,1984043.1062000000,0.4798439110
Original LTV,61 to 80,30_DPD,60_DPD,24069,806733.0745000000,0.1951096488
Original LTV,61 to 80,30_DPD,90_PLUS,152,5026.8121000000,0.0012157423
Original LTV,61 to 80,30_DPD,CENSORED_DEFECT,16,503.1491000000,0.0001216874
Original LTV,61 to 80,30_DPD,CENSORED_RPL,187,6278.7015000000,0.0015185137
Original LTV,61 to 80,30_DPD,CURRENT,38565,1305952.7523999999,0.3158467043
Original LTV,61 to 80,30_DPD,DEFAULTED,25,831.4192000000,0.0002010800
Original LTV,61 to 80,30_DPD,PAID_OFF,749,25398.6894000000,0.0061427125
Original LTV,61 to 80,60_DPD,30_DPD,6422,215678.8249000000,0.1505198628
Original LTV,61 to 80,60_DPD,60_DPD,16073,538197.5409000000,0.3756021022
Original LTV,61 to 80,60_DPD,90_PLUS,15721,524546.8600000000,0.3660754432
Original LTV,61 to 80,60_DPD,CENSORED_DEFECT,6,193.0596000000,0.0001347342
Original LTV,61 to 80,60_DPD,CENSORED_RPL,43,1495.0170000000,0.0010433558
Original LTV,61 to 80,60_DPD,CURRENT,4299,145147.8133000000,0.1012970511
Original LTV,61 to 80,60_DPD,DEFAULTED,47,1556.5511000000,0.0010862998
Original LTV,61 to 80,60_DPD,PAID_OFF,178,6077.1147000000,0.0042411510
Original LTV,61 to 80,90_PLUS,30_DPD,1062,35435.1849000000,0.0061367406
Original LTV,61 to 80,90_PLUS,60_DPD,2174,72468.9118000000,0.0125503201
Original LTV,61 to 80,90_PLUS,90_PLUS,157104,5231086.2522000000,0.9059306276
Original LTV,61 to 80,90_PLUS,CENSORED_DEFECT,181,5683.2536000000,0.0009842379
Original LTV,61 to 80,90_PLUS,CENSORED_RPL,13,443.5564000000,0.0000768160
Original LTV,61 to 80,90_PLUS,CURRENT,6727,225234.8002000000,0.0390066411
Original LTV,61 to 80,90_PLUS,DEFAULTED,5666,188204.6514000000,0.0325936813
Original LTV,61 to 80,90_PLUS,PAID_OFF,456,15711.4108000000,0.0027209355
Original LTV,61 to 80,CURRENT,30_DPD,56284,1899874.3382999999,0.0126540912
Original LTV,61 to 80,CURRENT,60_DPD,482,15780.9544000000,0.0001051089
Original LTV,61 to 80,CURRENT,90_PLUS,435,14619.7364000000,0.0000973746
Original LTV,61 to 80,CURRENT,CENSORED_DEFECT,140,4539.6583000000,0.0000302363
Original LTV,61 to 80,CURRENT,CENSORED_RPL,1190,39205.3220000000,0.0002611266
Original LTV,61 to 80,CURRENT,CURRENT,4243149,146101129.2188999951,0.9731048933
Original LTV,61 to 80,CURRENT,DEFAULTED,41,1293.7930000000,0.0000086173
Original LTV,61 to 80,CURRENT,PAID_OFF,60981,2062694.3227000001,0.0137385518
Original LTV,61 to 80,DEFAULTED,CENSORED_DEFECT,15,521.8265000000,0.0007086725
Original LTV,61 to 80,DEFAULTED,DEFAULTED,22178,735821.8377000000,0.9992913275
Original LTV,81 to 90,30_DPD,30_DPD,11584,384079.0605000000,0.4778721374
Original LTV,81 to 90,30_DPD,60_DPD,4947,162766.1114000000,0.2025140070
Original LTV,81 to 90,30_DPD,90_PLUS,26,856.0314000000,0.0010650764
Original LTV,81 to 90,30_DPD,CENSORED_DEFECT,3,89.4970000000,0.0001113524
Original LTV,81 to 90,30_DPD,CENSORED_RPL,30,930.3366000000,0.0011575271
Original LTV,81 to 90,30_DPD,CURRENT,7565,251101.8586000000,0.3124215668
Original LTV,81 to 90,30_DPD,DEFAULTED,2,65.0881000000,0.0000809828
Original LTV,81 to 90,30_DPD,PAID_OFF,114,3839.6884000000,0.0047773500
Original LTV,81 to 90,60_DPD,30_DPD,1258,41882.4251000000,0.1473108591
Original LTV,81 to 90,60_DPD,60_DPD,3162,102800.5445000000,0.3615749682
Original LTV,81 to 90,60_DPD,90_PLUS,3328,108545.8835000000,0.3817827480
Original LTV,81 to 90,60_DPD,CENSORED_DEFECT,2,63.9035000000,0.0002247644
Original LTV,81 to 90,60_DPD,CENSORED_RPL,9,282.8743000000,0.0009949390
Original LTV,81 to 90,60_DPD,CURRENT,888,29417.1657000000,0.1034674554
Original LTV,81 to 90,60_DPD,DEFAULTED,6,204.9322000000,0.0007207973
Original LTV,81 to 90,60_DPD,PAID_OFF,33,1115.4940000000,0.0039234686
Original LTV,81 to 90,90_PLUS,30_DPD,210,6840.9581000000,0.0057616650
Original LTV,81 to 90,90_PLUS,60_DPD,451,14616.6066000000,0.0123105549
Original LTV,81 to 90,90_PLUS,90_PLUS,32868,1075596.3548000001,0.9059002807
Original LTV,81 to 90,90_PLUS,CENSORED_DEFECT,65,2004.5115000000,0.0016882611
Original LTV,81 to 90,90_PLUS,CURRENT,1337,43369.5045000000,0.0365271285
Original LTV,81 to 90,90_PLUS,DEFAULTED,1305,42793.7641000000,0.0360422223
Original LTV,81 to 90,90_PLUS,PAID_OFF,61,2101.4283000000,0.0017698874
Original LTV,81 to 90,CURRENT,30_DPD,11222,371012.9863000000,0.0179610185
Original LTV,81 to 90,CURRENT,60_DPD,131,4284.7202000000,0.0002074265
Original LTV,81 to 90,CURRENT,90_PLUS,75,2351.1367000000,0.0001138203
Original LTV,81 to 90,CURRENT,CENSORED_DEFECT,51,1591.0900000000,0.0000770259
Original LTV,81 to 90,CURRENT,CENSORED_RPL,244,7813.7933000000,0.0003782716
Original LTV,81 to 90,CURRENT,CURRENT,593677,20026883.6103000008,0.9695165387
Original LTV,81 to 90,CURRENT,DEFAULTED,6,219.8478000000,0.0000106430
Original LTV,81 to 90,CURRENT,PAID_OFF,7279,242410.0943000000,0.0117352555
Original LTV,81 to 90,DEFAULTED,CENSORED_DEFECT,4,132.3730000000,0.0006579884
Original LTV,81 to 90,DEFAULTED,DEFAULTED,6231,201045.9426000000,0.9993420116
Original LTV,Above 90,30_DPD,30_DPD,11485,378456.3965000000,0.4836908549
Original LTV,Above 90,30_DPD,60_DPD,5013,163978.5147000000,0.2095747586
Original LTV,Above 90,30_DPD,90_PLUS,35,1115.2619000000,0.0014253742
Original LTV,Above 90,30_DPD,CENSORED_DEFECT,11,339.6131000000,0.0004340467
Original LTV,Above 90,30_DPD,CENSORED_RPL,36,1160.5139000000,0.0014832091
Original LTV,Above 90,30_DPD,CURRENT,7021,232898.7072000000,0.2976590588
Original LTV,Above 90,30_DPD,DEFAULTED,7,227.1568000000,0.0002903205
Original LTV,Above 90,30_DPD,PAID_OFF,129,4258.3035000000,0.0054423772
Original LTV,Above 90,60_DPD,30_DPD,1253,41598.3692000000,0.1432841218
Original LTV,Above 90,60_DPD,60_DPD,3240,106507.1105000000,0.3668600017
Original LTV,Above 90,60_DPD,90_PLUS,3463,112370.3067000000,0.3870555751
Original LTV,Above 90,60_DPD,CENSORED_DEFECT,5,153.5474000000,0.0005288886
Original LTV,Above 90,60_DPD,CENSORED_RPL,7,276.8722000000,0.0009536766
Original LTV,Above 90,60_DPD,CURRENT,848,28066.9502000000,0.0966756243
Original LTV,Above 90,60_DPD,DEFAULTED,11,372.3289000000,0.0012824738
Original LTV,Above 90,60_DPD,PAID_OFF,28,975.3730000000,0.0033596380
Original LTV,Above 90,90_PLUS,30_DPD,213,6846.8861000000,0.0057605374
Original LTV,Above 90,90_PLUS,60_DPD,475,15695.0690000000,0.0132048394
Original LTV,Above 90,90_PLUS,90_PLUS,33094,1072228.1248000001,0.9021049976
Original LTV,Above 90,90_PLUS,CENSORED_DEFECT,84,2616.6238000000,0.0022014619
Original LTV,Above 90,90_PLUS,CENSORED_RPL,4,120.6985000000,0.0001015481
Original LTV,Above 90,90_PLUS,CURRENT,1389,45082.5502000000,0.0379296093
Original LTV,Above 90,90_PLUS,DEFAULTED,1365,44055.6256000000,0.0370656198
Original LTV,Above 90,90_PLUS,PAID_OFF,59,1939.0409000000,0.0016313865
Original LTV,Above 90,CURRENT,30_DPD,10796,355864.4314000000,0.0196824756
Original LTV,Above 90,CURRENT,60_DPD,132,4286.5572000000,0.0002370848
Original LTV,Above 90,CURRENT,90_PLUS,100,3181.5148000000,0.0001759661
Original LTV,Above 90,CURRENT,CENSORED_DEFECT,38,1199.2263000000,0.0000663279
Original LTV,Above 90,CURRENT,CENSORED_RPL,210,6712.0777000000,0.0003712377
Original LTV,Above 90,CURRENT,CURRENT,523189,17501125.0153999999,0.9679682359
Original LTV,Above 90,CURRENT,DEFAULTED,9,300.9528000000,0.0000166454
Original LTV,Above 90,CURRENT,PAID_OFF,6293,207598.1151000000,0.0114820265
Original LTV,Above 90,DEFAULTED,CENSORED_DEFECT,9,276.1098000000,0.0013454525
Original LTV,Above 90,DEFAULTED,DEFAULTED,6355,204940.9529000000,0.9986545475
Original LTV,Unknown,CURRENT,CURRENT,815,25970.2424000000,0.9912575639
Original LTV,Unknown,CURRENT,PAID_OFF,7,229.0456000000,0.0087424361
Vintage,2005Q1,30_DPD,30_DPD,6967,235718.6912000000,0.4744296902
Vintage,2005Q1,30_DPD,60_DPD,2435,82384.8160000000,0.1658154580
Vintage,2005Q1,30_DPD,90_PLUS,17,575.1712000000,0.0011576439
Vintage,2005Q1,30_DPD,CENSORED_DEFECT,1,33.8336000000,0.0000680967
Vintage,2005Q1,30_DPD,CENSORED_RPL,9,304.5024000000,0.0006128703
Vintage,2005Q1,30_DPD,CURRENT,5119,173194.1984000000,0.3485869935
Vintage,2005Q1,30_DPD,DEFAULTED,1,33.8336000000,0.0000680967
Vintage,2005Q1,30_DPD,PAID_OFF,136,4601.3696000000,0.0092611508
Vintage,2005Q1,60_DPD,30_DPD,684,23142.1824000000,0.1557377049
Vintage,2005Q1,60_DPD,60_DPD,1684,56975.7824000000,0.3834244080
Vintage,2005Q1,60_DPD,90_PLUS,1480,50073.7280000000,0.3369763206
