reporting_month,state,rows,weighted_rows
200808,90_PLUS,906,30224.9075
200808,CENSORED_DEFECT,2,59.9613
200808,CURRENT,96119,3226112.0597
200808,DEFAULTED,169,5751.4569
200808,PAID_OFF,534,17771.7319
200809,30_DPD,1870,62117.0259
200809,60_DPD,499,16399.3613
200809,90_PLUS,981,32782.07
200809,CENSORED_DEFECT,12,373.3178
200809,CURRENT,95367,3201829.9076
200809,DEFAULTED,191,6548.1129
200809,PAID_OFF,543,17982.7631
200810,30_DPD,1758,58849.6391
200810,60_DPD,583,19173.038099999998
200810,90_PLUS,1107,36805.9669
200810,CENSORED_DEFECT,9,279.6009
200810,CURRENT,94563,3175042.6866
200810,DEFAULTED,207,7011.7171
200810,PAID_OFF,705,23064.3074
200811,30_DPD,2223,74095.8347
200811,60_DPD,676,22524.8795
200811,90_PLUS,1282,42300.2627
200811,CENSORED_DEFECT,3,88.3588
200811,CURRENT,93375,3135835.1495000003
200811,DEFAULTED,213,7249.2307
200811,PAID_OFF,427,14103.213600000001
200812,30_DPD,2121,70441.9742
200812,60_DPD,718,23779.0531
200812,90_PLUS,1494,49350.768299999996
200812,CENSORED_DEFECT,6,184.7178
200812,CURRENT,92621,3111798.7772
200812,DEFAULTED,202,6881.2919
200812,PAID_OFF,667,21654.136
200901,30_DPD,2141,71230.2973
200901,60_DPD,751,24754.3298
200901,90_PLUS,1709,56384.7111
200901,CENSORED_DEFECT,7,221.508
200901,CURRENT,90832,3054224.5191
200901,DEFAULTED,198,6751.8129
200901,PAID_OFF,1541,49475.11
200902,30_DPD,2085,69585.3364
200902,60_DPD,742,24480.862399999998
200902,90_PLUS,1865,61434.0136
200902,CENSORED_DEFECT,29,958.6764000000001
200902,CURRENT,88582,2981099.5291
200902,DEFAULTED,242,8022.9877
200902,PAID_OFF,2086,67696.9081
200903,30_DPD,1784,59314.2052
200903,60_DPD,754,24830.7397
200903,90_PLUS,2017,66303.9434
200903,CENSORED_DEFECT,7,213.7122
200903,CURRENT,86510,2914635.9553
200903,DEFAULTED,240,8116.4404
200903,PAID_OFF,2172,70207.0271
200904,30_DPD,1866,61968.555
200904,60_DPD,774,25392.2456
200904,90_PLUS,2261,74314.1299
200904,CENSORED_DEFECT,1,30.2787
200904,CURRENT,84066,2835191.9161
200904,DEFAULTED,246,8178.5164
200904,PAID_OFF,2051,66633.3568
200905,30_DPD,2116,70049.8009
200905,60_DPD,764,25091.0505
200905,90_PLUS,2521,82492.3149
200905,CENSORED_DEFECT,5,147.1356
200905,CURRENT,81375,2747341.807
200905,DEFAULTED,269,9019.2855
200905,PAID_OFF,2133,69941.4674
200906,30_DPD,2093,69530.6306
200906,60_DPD,761,24910.2385
200906,90_PLUS,2712,88593.3352
200906,CENSORED_DEFECT,3,94.7707
200906,CURRENT,78983,2668559.4432
200906,DEFAULTED,311,10421.553100000001
200906,PAID_OFF,2142,70519.33350000001
200907,30_DPD,1958,64742.2475
200907,60_DPD,812,26814.7378
200907,90_PLUS,2932,95718.1664
200907,CENSORED_DEFECT,4,131.7268
200907,CURRENT,77187,2609695.6623
200907,DEFAULTED,327,10968.8101
200907,PAID_OFF,1576,51813.7034
200908,30_DPD,2619,86559.1446
200908,60_DPD,891,29376.9567
200908,90_PLUS,3186,103892.2729
200908,CENSORED_DEFECT,3,98.74459999999999
200908,CURRENT,75017,2538817.0554
200908,DEFAULTED,330,11027.2875
200908,PAID_OFF,1120,36538.5615
200909,30_DPD,2414,80220.9057
200909,60_DPD,1023,33604.294200000004
200909,90_PLUS,3414,111276.6078
200909,CENSORED_DEFECT,6,179.6086
200909,CURRENT,73823,2499328.4234
200909,DEFAULTED,361,11922.177
200909,PAID_OFF,957,31544.757100000003
200910,30_DPD,2290,76032.3796
200910,60_DPD,996,32841.9822
200910,90_PLUS,3662,119360.3847
200910,CENSORED_DEFECT,5,160.9506
200910,CURRENT,72556,2457750.8178
200910,DEFAULTED,396,12994.2602
200910,PAID_OFF,1061,34902.5066
200911,30_DPD,2408,79850.5853
200911,60_DPD,996,32933.2903
200911,90_PLUS,3914,127730.1962
200911,CENSORED_DEFECT,4,131.4892
200911,CURRENT,70984,2405381.6014
200911,DEFAULTED,400,13021.654
200911,PAID_OFF,1121,37556.8119
200912,30_DPD,2328,77537.3651
200912,60_DPD,1006,33218.2766
200912,90_PLUS,4068,133001.5389
200912,CENSORED_DEFECT,16,522.1742
200912,CURRENT,69515,2356365.82
200912,DEFAULTED,405,13130.3525
200912,PAID_OFF,1286,42669.528399999996
201001,30_DPD,2400,79999.1215
201001,60_DPD,1060,34974.173
201001,90_PLUS,4257,139291.8908
201001,CENSORED_DEFECT,7,202.8008
201001,CURRENT,68079,2308736.4425
201001,DEFAULTED,399,12820.1354
201001,PAID_OFF,1027,34160.904500000004
201002,30_DPD,2401,79592.2041
201002,60_DPD,974,32413.0591
201002,90_PLUS,4332,141785.8376
201002,CENSORED_DEFECT,9,272.26009999999997
201002,CURRENT,67189,2279640.6718
201002,DEFAULTED,451,14523.4935
201002,PAID_OFF,788,25896.7288
201003,30_DPD,1908,62884.049399999996
201003,60_DPD,841,27950.1924
201003,90_PLUS,4256,139501.4137
201003,CENSORED_DEFECT,12,391.7371
201003,CURRENT,66682,2263348.1817
201003,DEFAULTED,501,16093.6039
201003,PAID_OFF,1072,35363.2039
201004,30_DPD,1969,65140.260800000004
201004,60_DPD,758,24940.8174
201004,90_PLUS,4190,137484.6063
201004,CENSORED_DEFECT,11,358.24850000000004
201004,CURRENT,65706,2231089.1818
201004,DEFAULTED,516,16572.3721
201004,PAID_OFF,936,30892.7768
201005,30_DPD,2107,70111.8507
201005,60_DPD,810,26642.6263
201005,90_PLUS,4120,135261.0659
201005,CENSORED_DEFECT,7,222.4669
201005,CURRENT,64569,2193020.7089
201005,DEFAULTED,556,18019.84
201005,PAID_OFF,874,28900.0112
201006,30_DPD,2025,67062.6271
201006,60_DPD,821,27161.5392
201006,90_PLUS,4046,132787.2894
201006,CENSORED_DEFECT,12,363.2454
201006,CURRENT,63642,2162741.9741
201006,DEFAULTED,593,19151.0844
201006,PAID_OFF,1026,34531.6543
201007,30_DPD,2018,66947.7988
201007,60_DPD,793,26122.6898
201007,90_PLUS,3988,130832.6057
201007,CENSORED_DEFECT,8,261.2316
201007,CURRENT,62474,2123475.5159
201007,DEFAULTED,622,20175.7964
201007,PAID_OFF,1099,37044.2251
201008,30_DPD,2037,67475.3186
201008,60_DPD,802,26332.608500000002
201008,90_PLUS,3918,128540.6012
201008,CENSORED_DEFECT,5,161.0054
201008,CURRENT,61020,2074895.604
201008,DEFAULTED,673,21769.3507
201008,PAID_OFF,1321,44480.7161
201009,30_DPD,2101,69853.0472
201009,60_DPD,788,26000.9579
201009,90_PLUS,3830,125681.9272
201009,CENSORED_DEFECT,16,485.8672
201009,CURRENT,59374,2018799.3067
201009,DEFAULTED,740,23868.6611
201009,PAID_OFF,1488,50617.214
201010,30_DPD,2118,70282.3851
201010,60_DPD,817,27049.7824
201010,90_PLUS,3841,126030.0414
201010,CENSORED_DEFECT,23,696.3747000000001
201010,CURRENT,57696,1961862.718
201010,DEFAULTED,729,23593.6059
201010,PAID_OFF,1482,50581.2779
201011,30_DPD,2108,69608.6758
201011,60_DPD,784,25927.4636
201011,90_PLUS,3876,127197.15639999999
201011,CENSORED_DEFECT,18,536.4635000000001
201011,CURRENT,56111,1908512.0755
201011,DEFAULTED,708,22907.8547
201011,PAID_OFF,1489,50609.8386
201012,30_DPD,2015,66723.4393
201012,60_DPD,764,25227.693700000003
201012,90_PLUS,3845,126324.33410000001
201012,CENSORED_DEFECT,50,1500.0769
201012,CURRENT,54638,1857685.227
201012,DEFAULTED,711,23012.4489
201012,PAID_OFF,1452,50076.2383
201101,30_DPD,2017,66968.8415
201101,60_DPD,820,27105.507400000002
201101,90_PLUS,3858,126766.9712
201101,CENSORED_DEFECT,13,413.0885
201101,CURRENT,53257,1810914.1195
201101,DEFAULTED,683,22004.4229
201101,PAID_OFF,1193,40480.1856
201102,30_DPD,2055,68570.3322
