segment_type,segment,from_state,to_state,sample_count,weighted_count,probability
Classic FICO,Below 660,30_DPD,DEFAULTED,6,204.6857,6.893677777027022e-05
Classic FICO,Below 660,30_DPD,PAID_OFF,450,15212.9603,0.00512362350388446
Classic FICO,Below 660,60_DPD,30_DPD,5012,166969.1057,0.16852001241159717
Classic FICO,Below 660,60_DPD,60_DPD,11844,393292.3669,0.3969454964348799
Classic FICO,Below 660,60_DPD,90_PLUS,9757,323050.8135,0.3260514984036149
Classic FICO,Below 660,60_DPD,CENSORED_DEFECT,5,166.72830000000002,0.00016827696996741176
Classic FICO,Below 660,60_DPD,CENSORED_RPL,30,1033.2179,0.0010428150321696572
Classic FICO,Below 660,60_DPD,CURRENT,3039,101603.9353,0.10254769207776332
Classic FICO,Below 660,60_DPD,DEFAULTED,8,296.8711,0.0002996286124124848
Classic FICO,Below 660,60_DPD,PAID_OFF,129,4383.8602,0.004424580057595091
Classic FICO,Below 660,90_PLUS,30_DPD,819,26916.2573,0.008102972551044474
Classic FICO,Below 660,90_PLUS,60_DPD,1777,58572.0673,0.017632758087426575
Classic FICO,Below 660,90_PLUS,90_PLUS,90241,2984862.5968,0.8985743976563089
Classic FICO,Below 660,90_PLUS,CENSORED_DEFECT,141,4461.930200000001,0.0013432364512014226
Classic FICO,Below 660,90_PLUS,CENSORED_RPL,8,266.2845,8.016329945949068e-05
Classic FICO,Below 660,90_PLUS,CURRENT,4613,153197.934,0.04611928918062182
Classic FICO,Below 660,90_PLUS,DEFAULTED,2520,83116.62150000001,0.0250217441096483
Classic FICO,Below 660,90_PLUS,PAID_OFF,301,10382.0062,0.003125438664289093
Classic FICO,Below 660,CURRENT,30_DPD,37445,1256135.688,0.03179012690334173
Classic FICO,Below 660,CURRENT,60_DPD,398,12934.0794,0.0003273340845514598
Classic FICO,Below 660,CURRENT,90_PLUS,304,10084.1295,0.0002552079043508013
Classic FICO,Below 660,CURRENT,CENSORED_DEFECT,87,2776.3207,7.026278149767412e-05
Classic FICO,Below 660,CURRENT,CENSORED_RPL,700,23043.0765,0.0005831713350527873
Classic FICO,Below 660,CURRENT,CURRENT,1113776,37796147.8634,0.9565402436324653
Classic FICO,Below 660,CURRENT,DEFAULTED,16,517.7016,1.3101928174866932e-05
Classic FICO,Below 660,CURRENT,PAID_OFF,12232,411751.31450000004,0.010420551430565497
Classic FICO,Below 660,DEFAULTED,CENSORED_DEFECT,10,329.8016,0.0008487739796134852
Classic FICO,Below 660,DEFAULTED,DEFAULTED,11856,388232.5341,0.9991512260203865
Classic FICO,Unknown,30_DPD,30_DPD,23,760.821,0.37621217899906884
Classic FICO,Unknown,30_DPD,60_DPD,23,795.9629,0.3935892108806381
Classic FICO,Unknown,30_DPD,CURRENT,13,437.03700000000003,0.21610686623163144
Classic FICO,Unknown,30_DPD,PAID_OFF,1,28.498,0.014091743888661676
Classic FICO,Unknown,60_DPD,30_DPD,1,30.2331,0.02569240212585165
Classic FICO,Unknown,60_DPD,60_DPD,9,303.1964,0.25765944715925815
Classic FICO,Unknown,60_DPD,90_PLUS,15,533.0406,0.4529834335415568
Classic FICO,Unknown,60_DPD,CURRENT,8,276.4294,0.23491257278307207
Classic FICO,Unknown,60_DPD,PAID_OFF,1,33.8336,0.02875214439026148
Classic FICO,Unknown,90_PLUS,60_DPD,2,77.5738,0.015447508653178043
Classic FICO,Unknown,90_PLUS,90_PLUS,134,4488.7271,0.8938539908964725
Classic FICO,Unknown,90_PLUS,CURRENT,8,274.51300000000003,0.05466461541022696
Classic FICO,Unknown,90_PLUS,DEFAULTED,5,180.9538,0.03603388504012242
Classic FICO,Unknown,CURRENT,30_DPD,36,1231.2648000000002,0.007104424594569716
Classic FICO,Unknown,CURRENT,CENSORED_RPL,1,35.4055,0.0002042905027277951
Classic FICO,Unknown,CURRENT,CURRENT,5106,169667.9251,0.9789876068820064
Classic FICO,Unknown,CURRENT,PAID_OFF,72,2374.9786,0.013703678020696075
Classic FICO,Unknown,DEFAULTED,DEFAULTED,30,1289.5928,1.0
Original LTV,60 or below,30_DPD,30_DPD,16703,562812.3092,0.47929748350132834
Original LTV,60 or below,30_DPD,60_DPD,5584,186846.5167,0.15912065850619977
Original LTV,60 or below,30_DPD,90_PLUS,39,1242.8939,0.001058462845945786
Original LTV,60 or below,30_DPD,CENSORED_RPL,43,1442.9277,0.0012288139477038282
Original LTV,60 or below,30_DPD,CURRENT,12037,408662.1353,0.3480214093575645
Original LTV,60 or below,30_DPD,DEFAULTED,3,96.505,8.218477614863027e-05
Original LTV,60 or below,30_DPD,PAID_OFF,387,13140.9521,0.0111909870651093
Original LTV,60 or below,60_DPD,30_DPD,1735,57975.6231,0.16466974787214242
Original LTV,60 or below,60_DPD,60_DPD,4248,142367.6716,0.40437079127340975
Original LTV,60 or below,60_DPD,90_PLUS,3260,108697.4147,0.30873623974905945
Original LTV,60 or below,60_DPD,CENSORED_DEFECT,2,80.51689999999999,0.00022869435313488685
Original LTV,60 or below,60_DPD,CENSORED_RPL,12,391.4428,0.001111825690448948
Original LTV,60 or below,60_DPD,CURRENT,1157,38861.937,0.11038062250016736
Original LTV,60 or below,60_DPD,DEFAULTED,3,91.32419999999999,0.00025939062289483366
Original LTV,60 or below,60_DPD,PAID_OFF,107,3606.1646,0.010242687938742402
Original LTV,60 or below,90_PLUS,30_DPD,277,9086.4994,0.008488470737628389
Original LTV,60 or below,90_PLUS,60_DPD,601,19773.3012,0.018471919848749706
Original LTV,60 or below,90_PLUS,90_PLUS,28962,958366.8470000001,0.895291858674715
Original LTV,60 or below,90_PLUS,CENSORED_DEFECT,24,775.0575000000001,0.0007240470305571599
Original LTV,60 or below,90_PLUS,CENSORED_RPL,1,30.2787,2.8285905012377886e-05
Original LTV,60 or below,90_PLUS,CURRENT,1549,52084.949,0.04865697404408203
Original LTV,60 or below,90_PLUS,DEFAULTED,634,20890.9325,0.01951599415810448
Original LTV,60 or below,90_PLUS,PAID_OFF,278,9444.0077,0.008822449601150821
Original LTV,60 or below,CURRENT,30_DPD,16069,544000.8151,0.008535503954263434
Original LTV,60 or below,CURRENT,60_DPD,97,3278.6943,5.144350410086542e-05
Original LTV,60 or below,CURRENT,90_PLUS,74,2502.7212,3.926829906512566e-05
Original LTV,60 or below,CURRENT,CENSORED_DEFECT,42,1372.616,2.153667599474385e-05
Original LTV,60 or below,CURRENT,CENSORED_RPL,234,7992.202499999999,0.00012539958424415988
Original LTV,60 or below,CURRENT,CURRENT,1794414,62227019.2201,0.9763569352695816
Original LTV,60 or below,CURRENT,DEFAULTED,8,249.6018,3.916312424090099e-06
Original LTV,60 or below,CURRENT,PAID_OFF,27895,947467.6835,0.014865996400326103
Original LTV,60 or below,DEFAULTED,CENSORED_DEFECT,2,59.54,0.0006973142812799037
Original LTV,60 or below,DEFAULTED,DEFAULTED,2596,85325.202,0.9993026857187202
Original LTV,61 to 80,30_DPD,30_DPD,58822,1984043.1062,0.47984391096232243
Original LTV,61 to 80,30_DPD,60_DPD,24069,806733.0745,0.19510964875765996
Original LTV,61 to 80,30_DPD,90_PLUS,152,5026.8121,0.0012157423244480538
Original LTV,61 to 80,30_DPD,CENSORED_DEFECT,16,503.1491,0.00012168739236900187
Original LTV,61 to 80,30_DPD,CENSORED_RPL,187,6278.7015,0.0015185137228673185
Original LTV,61 to 80,30_DPD,CURRENT,38565,1305952.7523999999,0.31584670428045436
Original LTV,61 to 80,30_DPD,DEFAULTED,25,831.4192,0.0002010800266034892
Original LTV,61 to 80,30_DPD,PAID_OFF,749,25398.6894,0.006142712533275343
Original LTV,61 to 80,60_DPD,30_DPD,6422,215678.8249,0.15051986281501134
Original LTV,61 to 80,60_DPD,60_DPD,16073,538197.5409,0.37560210215910006
Original LTV,61 to 80,60_DPD,90_PLUS,15721,524546.86,0.36607544316811114
Original LTV,61 to 80,60_DPD,CENSORED_DEFECT,6,193.05960000000002,0.0001347341563113318
Original LTV,61 to 80,60_DPD,CENSORED_RPL,43,1495.017,0.001043355803938775
Original LTV,61 to 80,60_DPD,CURRENT,4299,145147.8133,0.10129705109411914
Original LTV,61 to 80,60_DPD,DEFAULTED,47,1556.5511000000001,0.0010862997707131656
Original LTV,61 to 80,60_DPD,PAID_OFF,178,6077.1147,0.004241151032695045
Original LTV,61 to 80,90_PLUS,30_DPD,1062,35435.1849,0.006136740582405845
Original LTV,61 to 80,90_PLUS,60_DPD,2174,72468.9118,0.012550320063543672
Original LTV,61 to 80,90_PLUS,90_PLUS,157104,5231086.2522,0.9059306275537745
Original LTV,61 to 80,90_PLUS,CENSORED_DEFECT,181,5683.2536,0.0009842379292121068
Original LTV,61 to 80,90_PLUS,CENSORED_RPL,13,443.5564,7.681603942938194e-05
Original LTV,61 to 80,90_PLUS,CURRENT,6727,225234.8002,0.039006641078862044
Original LTV,61 to 80,90_PLUS,DEFAULTED,5666,188204.6514,0.03259368126068181
Original LTV,61 to 80,90_PLUS,PAID_OFF,456,15711.4108,0.0027209354920907855
Original LTV,61 to 80,CURRENT,30_DPD,56284,1899874.3383,0.012654091211054399
Original LTV,61 to 80,CURRENT,60_DPD,482,15780.9544,0.00010510886554411558
Original LTV,61 to 80,CURRENT,90_PLUS,435,14619.7364,9.737458639117621e-05
Original LTV,61 to 80,CURRENT,CENSORED_DEFECT,140,4539.6583,3.023634197123897e-05
Original LTV,61 to 80,CURRENT,CENSORED_RPL,1190,39205.322,0.00026112659692570665
Original LTV,61 to 80,CURRENT,CURRENT,4243149,146101129.2189,0.9731048932574583
Original LTV,61 to 80,CURRENT,DEFAULTED,41,1293.7930000000001,8.617293417875787e-06
Original LTV,61 to 80,CURRENT,PAID_OFF,60981,2062694.3227000001,0.013738551847237128
Original LTV,61 to 80,DEFAULTED,CENSORED_DEFECT,15,521.8265,0.000708672492710232
Original LTV,61 to 80,DEFAULTED,DEFAULTED,22178,735821.8377,0.9992913275072898
Original LTV,81 to 90,30_DPD,30_DPD,11584,384079.0605,0.4778721373923281
Original LTV,81 to 90,30_DPD,60_DPD,4947,162766.1114,0.2025140070080852
Original LTV,81 to 90,30_DPD,90_PLUS,26,856.0314,0.001065076430515136
Original LTV,81 to 90,30_DPD,CENSORED_DEFECT,3,89.497,0.00011135239350076775
Original LTV,81 to 90,30_DPD,CENSORED_RPL,30,930.3366000000001,0.001157527148076096
Original LTV,81 to 90,30_DPD,CURRENT,7565,251101.8586,0.3124215668413617
Original LTV,81 to 90,30_DPD,DEFAULTED,2,65.0881,8.098277845533729e-05
Original LTV,81 to 90,30_DPD,PAID_OFF,114,3839.6884,0.004777350007677724
Original LTV,81 to 90,60_DPD,30_DPD,1258,41882.4251,0.14731085908537633
Original LTV,81 to 90,60_DPD,60_DPD,3162,102800.5445,0.3615749682255018
Original LTV,81 to 90,60_DPD,90_PLUS,3328,108545.8835,0.3817827480234943
Original LTV,81 to 90,60_DPD,CENSORED_DEFECT,2,63.90350000000001,0.00022476443188487543
Original LTV,81 to 90,60_DPD,CENSORED_RPL,9,282.8743,0.0009949389522378557
Original LTV,81 to 90,60_DPD,CURRENT,888,29417.1657,0.10346745540109295
Original LTV,81 to 90,60_DPD,DEFAULTED,6,204.9322,0.0007207972882223613
Original LTV,81 to 90,60_DPD,PAID_OFF,33,1115.494,0.003923468592189586
Original LTV,81 to 90,90_PLUS,30_DPD,210,6840.9581,0.005761664991820293
Original LTV,81 to 90,90_PLUS,60_DPD,451,14616.6066,0.01231055494206717
Original LTV,81 to 90,90_PLUS,90_PLUS,32868,1075596.3548,0.9059002806610787
Original LTV,81 to 90,90_PLUS,CENSORED_DEFECT,65,2004.5115,0.0016882611421419442
Original LTV,81 to 90,90_PLUS,CURRENT,1337,43369.5045,0.036527128530467495
Original LTV,81 to 90,90_PLUS,DEFAULTED,1305,42793.7641,0.036042222285089874
Original LTV,81 to 90,90_PLUS,PAID_OFF,61,2101.4283,0.0017698874473343776
Original LTV,81 to 90,CURRENT,30_DPD,11222,371012.9863,0.01796101846403964
Original LTV,81 to 90,CURRENT,60_DPD,131,4284.7202,0.00020742653617848207
Original LTV,81 to 90,CURRENT,90_PLUS,75,2351.1367,0.00011382030074288327
Original LTV,81 to 90,CURRENT,CENSORED_DEFECT,51,1591.0900000000001,7.702586681114465e-05
Original LTV,81 to 90,CURRENT,CENSORED_RPL,244,7813.7933,0.0003782716263791579
Original LTV,81 to 90,CURRENT,CURRENT,593677,20026883.6103,0.9695165387308471
Original LTV,81 to 90,CURRENT,DEFAULTED,6,219.8478,1.0642997794922453e-05
Original LTV,81 to 90,CURRENT,PAID_OFF,7279,242410.0943,0.011735255477206703
Original LTV,81 to 90,DEFAULTED,CENSORED_DEFECT,4,132.37300000000002,0.000657988409959627
